Date,Open,High,Low,Close*,Adj Close**,Volume
5/4/2020,87.72,89.72,87.25,88.07,88.07,"22,936"
5/1/2020,86.5,88.95,85.72,87.25,87.25,"32,067"
4/30/2020,87.9,90.4,85,90,90,"22,306"
4/29/2020,86.1,89.5,84.9,85.6,85.6,534
4/28/2020,84.8,85.75,84.7,85.53,85.53,621
4/27/2020,87.82,87.82,84.6,84.8,84.8,417
4/24/2020,84.45,86.6,81.45,84.97,84.97,"1,595"
4/23/2020,88.75,88.75,85.95,85.95,85.95,921
4/22/2020,91.6,92.25,88.6,88.95,88.95,"1,171"
4/21/2020,93.5,93.5,90.53,91.6,91.6,"1,718"
4/20/2020,94.88,95,93.15,93.53,93.53,"1,215"
4/17/2020,96.5,96.7,93.05,94.65,94.65,"1,715"
4/16/2020,94.43,97.68,94.43,95.5,95.5,"2,135"
4/15/2020,92.5,95.5,92.2,94.72,94.72,"1,670"
4/14/2020,91.25,94.8,90.43,93.7,93.7,"3,155"
4/13/2020,91.1,91.53,91,91,91,"1,762"
4/9/2020,93,94.57,90.55,94,94,"3,359"
4/8/2020,92.82,92.82,91.6,92.82,92.82,"3,806"
4/7/2020,85.75,88.32,85.75,88.32,88.32,"2,103"
4/6/2020,83.82,85.75,83.82,83.82,83.82,"6,439"
4/3/2020,91.05,95.25,88.32,88.32,88.32,"10,854"
4/2/2020,96.5,96.5,92.82,92.82,92.82,"6,097"
4/1/2020,99.1,100,97.32,97.32,97.32,"6,437"
3/31/2020,99,102.2,97.8,101.82,101.82,"8,636"
3/30/2020,100.5,102,98.4,99.2,99.2,"9,637"
3/27/2020,103.32,104.1,100.95,100.95,100.95,"12,527"
3/26/2020,108.5,108.55,105.45,105.45,105.45,"10,457"
3/25/2020,110.65,110.65,104.25,108.45,108.45,"25,837"
3/24/2020,106.15,106.15,106.15,106.15,106.15,"5,760"
3/23/2020,101.65,101.65,101.65,101.65,101.65,"7,057"
3/20/2020,99.6,99.6,97.1,98.65,98.65,"16,752"
3/19/2020,95.07,95.1,94.47,95.1,95.1,"9,067"
3/18/2020,95.78,100.85,91.85,92.1,92.1,"38,578"
3/17/2020,94.05,96.35,94,96.35,96.35,"20,426"
3/16/2020,91.07,99.97,91.07,91.85,91.85,"36,402"
3/13/2020,102.38,103.03,95.57,95.57,95.57,"42,481"
3/12/2020,100.07,100.07,100.07,100.07,100.07,"17,200"
3/11/2020,105.22,106.85,102.8,103.07,103.07,"44,762"
3/10/2020,105,105.85,104.8,105.45,105.45,"47,011"
3/9/2020,102.75,105.22,102.75,102.85,102.85,"45,155"
3/6/2020,107.25,108.18,105.65,105.75,105.75,"53,780"
3/5/2020,110.43,110.55,108.5,108.65,108.65,"29,790"
3/4/2020,111.15,112.45,110.25,111.28,111.28,"32,393"
3/3/2020,111.9,112.65,109.5,110.1,110.1,"36,537"
3/2/2020,108.32,110.57,108.28,110.15,110.15,"35,051"
2/28/2020,111,113.4,110.5,112.7,112.7,"47,145"
2/27/2020,113.75,114.2,110.25,112.63,112.63,390
2/26/2020,115.57,115.7,113.57,114.07,114.07,672
2/25/2020,117.78,117.78,114.97,115.03,115.03,"1,579"
2/24/2020,118.03,118.28,116.8,117,117,"1,614"
2/21/2020,120.18,120.18,118.8,119.72,119.72,"1,980"
2/20/2020,121.53,121.53,119.9,120.1,120.1,"2,724"
2/19/2020,121.05,121.5,120.9,121.3,121.3,"1,426"
2/18/2020,121.5,122,120.75,121.43,121.43,"1,249"
2/14/2020,119.78,122.35,119.78,120.82,120.82,"2,545"
2/13/2020,119.1,119.7,118.45,119.45,119.45,"1,976"
2/12/2020,119,119.57,118.65,118.95,118.95,"3,261"
2/11/2020,120.2,120.3,119.05,119.07,119.07,"3,151"
2/10/2020,121.25,121.3,120.25,120.3,120.3,"5,129"
2/7/2020,121,121.47,120.82,121.32,121.32,"4,785"
2/6/2020,120.78,121.6,120.1,121.13,121.13,"4,821"
2/5/2020,122.07,122.07,120.55,120.75,120.75,"9,469"
2/4/2020,122.5,122.72,121.57,121.63,121.63,"5,849"
2/3/2020,121.4,122.15,120.72,121.68,121.68,"9,892"
1/31/2020,121.85,122.65,121.3,121.38,121.38,"7,998"
1/30/2020,122.07,122.2,121.13,121.78,121.78,"11,043"
1/29/2020,122.35,122.53,121.72,121.75,121.75,"7,204"
1/28/2020,122.4,123.1,122.1,122.15,122.15,"11,005"
1/27/2020,123.9,124,122.2,122.25,122.25,"19,444"
1/24/2020,124.82,125.22,124.1,124.85,124.85,"12,082"
1/23/2020,126.15,126.32,124.57,124.68,124.68,"18,060"
